#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
VEGFA	EGFR	1855611	1846445	9606.ENSP00000361125	9606.ENSP00000275493	0	0	0	0	0	0	0.8	0.942	0.987
CXCL9	CCL5	1854250	1847396	9606.ENSP00000354901	9606.ENSP00000293272	0	0	0	0	0.278	0	0.9	0.825	0.986
IL17RA	IL17C	1850297	1843707	9606.ENSP00000320936	9606.ENSP00000244241	0	0	0	0	0	0.17	0.9	0.852	0.986
CXCL11	CXCL10	1848890	1848754	9606.ENSP00000306884	9606.ENSP00000305651	0	0	0	0.836	0.848	0	0.9	0.922	0.986
MMP2	TIMP1	1842719	1842705	9606.ENSP00000219070	9606.ENSP00000218388	0	0	0	0	0.102	0.528	0	0.967	0.985
CD6	ALCAM	1850531	1848798	9606.ENSP00000323280	9606.ENSP00000305988	0	0	0	0	0	0.36	0.8	0.896	0.985
ANGPTL3	LPL	1855412	1849220	9606.ENSP00000360170	9606.ENSP00000309757	0	0	0	0	0	0.36	0.9	0.77	0.984
IL8	IL6	1848852	1844631	9606.ENSP00000306512	9606.ENSP00000258743	0	0	0	0	0.437	0	0	0.973	0.984
MET	CDH1	1849944	1844988	9606.ENSP00000317272	9606.ENSP00000261769	0	0	0	0	0.049	0.376	0.9	0.774	0.984
VEGFA	SERPINE1	1855611	1842959	9606.ENSP00000361125	9606.ENSP00000223095	0	0	0	0	0	0	0.9	0.851	0.984
ITGAM	ITGB2	1862188	1848511	9606.ENSP00000441691	9606.ENSP00000303242	0	0	0	0	0.364	0.396	0.9	0.61	0.983
LTA	LTBR	1860412	1843171	9606.ENSP00000403495	9606.ENSP00000228918	0	0	0	0	0	0.665	0.9	0.552	0.983
CXCL1	IL8	1858329	1848852	9606.ENSP00000379110	9606.ENSP00000306512	0	0	0	0.881	0.825	0	0.9	0.895	0.983
ITGB2	ICAM3	1848511	1842275	9606.ENSP00000303242	9606.ENSP00000160262	0	0	0	0	0.1	0.36	0.9	0.748	0.983
ITGAM	FCGR2A	1862188	1846197	9606.ENSP00000441691	9606.ENSP00000271450	0	0	0	0	0.258	0	0.9	0.782	0.982
MBL2	FCN2	1856023	1847312	9606.ENSP00000363079	9606.ENSP00000291744	0	0	0	0	0.122	0.325	0.9	0.743	0.982
COL18A1	MMP2	1853197	1842719	9606.ENSP00000347665	9606.ENSP00000219070	0	0	0	0	0.099	0.36	0.9	0.72	0.981
TNFSF14	LTBR	1864071	1843171	9606.ENSP00000469049	9606.ENSP00000228918	0	0	0	0	0	0.407	0.9	0.709	0.981
PLAU	MMP9	1855748	1855661	9606.ENSP00000361850	9606.ENSP00000361405	0	0	0	0	0.046	0	0.9	0.821	0.981
IL8	CXCL10	1848852	1848754	9606.ENSP00000306512	9606.ENSP00000305651	0	0	0	0	0	0	0.9	0.825	0.981
IL10	IL6	1860958	1844631	9606.ENSP00000412237	9606.ENSP00000258743	0	0	0	0	0.071	0	0	0.979	0.981
CXCL1	CCL5	1858329	1847396	9606.ENSP00000379110	9606.ENSP00000293272	0	0	0	0	0.053	0	0.9	0.82	0.981
FAS	TNFSF10	1853242	1843591	9606.ENSP00000347979	9606.ENSP00000241261	0	0	0	0	0.063	0	0.9	0.822	0.981
IL8	EGFR	1848852	1846445	9606.ENSP00000306512	9606.ENSP00000275493	0	0	0	0	0	0	0.9	0.811	0.98
F7	TFPI	1856334	1843343	9606.ENSP00000364731	9606.ENSP00000233156	0	0	0	0	0.054	0.184	0.9	0.782	0.98
CDH1	HGF	1844988	1842916	9606.ENSP00000261769	9606.ENSP00000222390	0	0	0	0	0.045	0	0.9	0.814	0.98
TEK	VEGFA	1857139	1855611	9606.ENSP00000369375	9606.ENSP00000361125	0	0	0	0	0	0.098	0.8	0.902	0.98
SRC	HGF	1853652	1842916	9606.ENSP00000350941	9606.ENSP00000222390	0	0	0	0	0	0.111	0.9	0.784	0.979
CXCL1	CCL20	1858329	1853751	9606.ENSP00000379110	9606.ENSP00000351671	0	0	0	0	0.434	0	0.9	0.66	0.979
MMP2	DCN	1842719	1842218	9606.ENSP00000219070	9606.ENSP00000052754	0	0	0	0	0.418	0.36	0.9	0.52	0.979
VEGFA	MMP2	1855611	1842719	9606.ENSP00000361125	9606.ENSP00000219070	0	0	0	0	0.045	0	0.8	0.899	0.979
CCL20	IL8	1853751	1848852	9606.ENSP00000351671	9606.ENSP00000306512	0	0	0	0	0.362	0	0.9	0.703	0.979
IL6	IL12B	1844631	1843283	9606.ENSP00000258743	9606.ENSP00000231228	0	0	0	0	0.061	0	0.9	0.795	0.979
ITGAM	SELP	1862188	1845393	9606.ENSP00000441691	9606.ENSP00000263686	0	0	0	0	0	0	0.9	0.791	0.978
CXCL10	CCL11	1848754	1848388	9606.ENSP00000305651	9606.ENSP00000302234	0	0	0	0	0.074	0	0.9	0.786	0.978
CXCL11	CXCL6	1848890	1843085	9606.ENSP00000306884	9606.ENSP00000226317	0	0	0	0	0.053	0	0.9	0.79	0.978
CDH1	MMP7	1844988	1844765	9606.ENSP00000261769	9606.ENSP00000260227	0	0	0	0	0.061	0	0.9	0.78	0.977
CXCL9	CXCL6	1854250	1843085	9606.ENSP00000354901	9606.ENSP00000226317	0	0	0	0	0	0	0.9	0.787	0.977
VWF	SERPINE1	1844904	1842959	9606.ENSP00000261405	9606.ENSP00000223095	0	0	0	0	0	0	0.9	0.788	0.977
CXCL1	CXCL10	1858329	1848754	9606.ENSP00000379110	9606.ENSP00000305651	0	0	0	0	0.066	0	0.9	0.781	0.977
MMP9	SRC	1855661	1853652	9606.ENSP00000361405	9606.ENSP00000350941	0	0	0	0	0.053	0	0.9	0.781	0.977
SPP1	MMP7	1858269	1844765	9606.ENSP00000378517	9606.ENSP00000260227	0	0	0	0	0	0.36	0.9	0.66	0.976
IKBKG	CASP8	1855067	1853692	9606.ENSP00000358622	9606.ENSP00000351273	0	0	0	0	0	0.326	0.9	0.683	0.976
SERPINE1	HGF	1842959	1842916	9606.ENSP00000223095	9606.ENSP00000222390	0.074	0	0	0	0.044	0.17	0.9	0.726	0.976
CXCL11	CXCL5	1848890	1847663	9606.ENSP00000306884	9606.ENSP00000296027	0	0	0	0	0.053	0	0.9	0.759	0.975
VCAM1	ICAM1	1847502	1845628	9606.ENSP00000294728	9606.ENSP00000264832	0	0	0	0	0.054	0	0	0.974	0.975
CXCL11	CCL5	1848890	1847396	9606.ENSP00000306884	9606.ENSP00000293272	0	0	0	0	0.184	0	0.9	0.708	0.974
VEGFA	KIT	1855611	1847112	9606.ENSP00000361125	9606.ENSP00000288135	0	0	0	0	0	0.098	0.8	0.87	0.974
IL6	CCL2	1844631	1843055	9606.ENSP00000258743	9606.ENSP00000225831	0	0	0	0	0.247	0	0	0.967	0.974
GDNF	NCAM1	1860755	1850053	9606.ENSP00000409007	9606.ENSP00000318472	0	0	0	0	0	0.36	0.9	0.621	0.973
TNFRSF11B	TNFSF10	1847859	1843591	9606.ENSP00000297350	9606.ENSP00000241261	0	0	0	0	0	0.36	0.8	0.799	0.972
CXCL9	CCL19	1854250	1849114	9606.ENSP00000354901	9606.ENSP00000308815	0	0	0	0	0.405	0	0.9	0.577	0.972
CXCL9	CXCL11	1854250	1848890	9606.ENSP00000354901	9606.ENSP00000306884	0	0	0	0.841	0.697	0	0.9	0.875	0.972
HGF	TIMP1	1842916	1842705	9606.ENSP00000222390	9606.ENSP00000218388	0	0	0	0	0	0	0.9	0.728	0.971
CCL20	CCL5	1853751	1847396	9606.ENSP00000351671	9606.ENSP00000293272	0	0	0	0	0.121	0	0.9	0.702	0.971
CXCL10	CXCL5	1848754	1847663	9606.ENSP00000305651	9606.ENSP00000296027	0	0	0	0	0.055	0	0.9	0.724	0.971
MMP9	CDH1	1855661	1844988	9606.ENSP00000361405	9606.ENSP00000261769	0	0	0	0	0.061	0	0.9	0.719	0.971
VEGFA	TIMP1	1855611	1842705	9606.ENSP00000361125	9606.ENSP00000218388	0	0	0	0	0.055	0	0.9	0.716	0.97
CXCL5	CCL5	1847663	1847396	9606.ENSP00000296027	9606.ENSP00000293272	0	0	0	0	0	0	0.9	0.715	0.97
CXCL9	IL8	1854250	1848852	9606.ENSP00000354901	9606.ENSP00000306512	0	0	0	0	0	0	0.9	0.714	0.97
SRC	VCAM1	1853652	1847502	9606.ENSP00000350941	9606.ENSP00000294728	0	0	0	0	0	0	0.9	0.705	0.969
ADA	DPP4	1855776	1854025	9606.ENSP00000361965	9606.ENSP00000353731	0.045	0	0	0	0.063	0.866	0	0.776	0.969
SERPINE1	TIMP1	1842959	1842705	9606.ENSP00000223095	9606.ENSP00000218388	0	0	0	0	0.074	0	0.9	0.699	0.969
SRC	PLAUR	1853652	1852201	9606.ENSP00000350941	9606.ENSP00000339328	0	0	0	0	0	0	0.9	0.702	0.968
PLAU	EGFR	1855748	1846445	9606.ENSP00000361850	9606.ENSP00000275493	0	0	0	0	0.044	0	0.9	0.697	0.968
SELE	ICAM1	1851385	1845628	9606.ENSP00000331736	9606.ENSP00000264832	0	0	0	0	0	0	0	0.967	0.967
PLAUR	EGFR	1852201	1846445	9606.ENSP00000339328	9606.ENSP00000275493	0	0	0	0	0	0	0.9	0.691	0.967
LTA	TNFRSF14	1860412	1853239	9606.ENSP00000403495	9606.ENSP00000347948	0	0	0	0	0	0.36	0.9	0.513	0.966
HSPG2	DCN	1856167	1842218	9606.ENSP00000363827	9606.ENSP00000052754	0	0	0	0	0.049	0.1	0.9	0.658	0.966
VEGFA	MET	1855611	1849944	9606.ENSP00000361125	9606.ENSP00000317272	0	0	0	0	0	0.098	0.8	0.83	0.966
LPL	FABP4	1849220	1844407	9606.ENSP00000309757	9606.ENSP00000256104	0	0	0	0	0.158	0	0.9	0.636	0.966
IKBKG	RNF31	1855067	1849759	9606.ENSP00000358622	9606.ENSP00000315112	0	0	0	0	0	0.407	0.9	0.471	0.965
CCL20	CXCL10	1853751	1848754	9606.ENSP00000351671	9606.ENSP00000305651	0	0	0	0	0.054	0	0.9	0.669	0.965
ITGB2	VCAM1	1848511	1847502	9606.ENSP00000303242	9606.ENSP00000294728	0	0	0	0	0.054	0	0.9	0.663	0.965
CXCL11	IL8	1848890	1848852	9606.ENSP00000306884	9606.ENSP00000306512	0	0	0	0	0	0	0.9	0.658	0.964
ITGB2	SELP	1848511	1845393	9606.ENSP00000303242	9606.ENSP00000263686	0	0	0	0	0.054	0	0.9	0.659	0.964
MMP3	DCN	1848108	1842218	9606.ENSP00000299855	9606.ENSP00000052754	0	0	0	0	0.053	0.36	0.9	0.48	0.964
SPP1	MMP3	1858269	1848108	9606.ENSP00000378517	9606.ENSP00000299855	0	0	0	0	0.053	0.36	0.9	0.481	0.964
TNFSF12	TNFSF11	1862762	1843537	9606.ENSP00000451451	9606.ENSP00000239849	0	0	0	0	0	0	0.9	0.657	0.964
CCL20	CCL19	1853751	1849114	9606.ENSP00000351671	9606.ENSP00000308815	0	0	0	0	0.055	0	0.9	0.658	0.964
CCL19	CXCL10	1849114	1848754	9606.ENSP00000308815	9606.ENSP00000305651	0	0	0	0	0.096	0	0.9	0.626	0.963
NGF	SORT1	1855044	1844454	9606.ENSP00000358525	9606.ENSP00000256637	0	0	0	0	0	0.403	0.9	0.443	0.963
ITGAM	MMP9	1862188	1855661	9606.ENSP00000441691	9606.ENSP00000361405	0	0	0	0	0.149	0	0.9	0.591	0.962
MMP9	TIMP2	1855661	1845213	9606.ENSP00000361405	9606.ENSP00000262768	0	0	0	0	0.049	0.528	0	0.923	0.962
IL1R2	IL1RN	1851300	1844670	9606.ENSP00000330959	9606.ENSP00000259206	0	0	0	0	0.055	0.36	0.9	0.446	0.962
IL10	IL8	1860958	1848852	9606.ENSP00000412237	9606.ENSP00000306512	0	0	0	0	0	0	0	0.96	0.961
CXCL9	CCL20	1854250	1853751	9606.ENSP00000354901	9606.ENSP00000351671	0	0	0	0	0	0	0.9	0.629	0.961
TF	EGFR	1859071	1846445	9606.ENSP00000385834	9606.ENSP00000275493	0	0	0	0	0.055	0	0.9	0.63	0.961
SRC	FAS	1853652	1853242	9606.ENSP00000350941	9606.ENSP00000347979	0	0	0	0	0	0.36	0.9	0.441	0.961
ADAMTS13	VWF	1855578	1844904	9606.ENSP00000360997	9606.ENSP00000261405	0	0	0	0	0	0.36	0	0.94	0.96
SERPINA5	PROC	1851559	1843382	9606.ENSP00000333203	9606.ENSP00000234071	0.074	0	0	0	0.053	0.446	0.9	0.31	0.96
CCL20	CXCL5	1853751	1847663	9606.ENSP00000351671	9606.ENSP00000296027	0	0	0	0	0.097	0	0.9	0.589	0.959
IGFBP3	MMP2	1857331	1842719	9606.ENSP00000370473	9606.ENSP00000219070	0	0	0	0	0.042	0.36	0.9	0.409	0.958
MMP9	COL18A1	1855661	1853197	9606.ENSP00000361405	9606.ENSP00000347665	0	0	0	0	0.099	0	0.9	0.577	0.958
ITGAM	PLAUR	1862188	1852201	9606.ENSP00000441691	9606.ENSP00000339328	0	0	0	0	0.088	0.36	0.9	0.352	0.957
ACE2	TFPI	1844133	1843343	9606.ENSP00000252519	9606.ENSP00000233156	0	0	0	0	0.952	0	0	0.159	0.957
CCL20	CXCL11	1853751	1848890	9606.ENSP00000351671	9606.ENSP00000306884	0	0	0	0	0.053	0	0.9	0.585	0.957
SRC	MMP2	1853652	1842719	9606.ENSP00000350941	9606.ENSP00000219070	0	0	0	0	0.053	0	0.9	0.578	0.956
SRC	EGFR	1853652	1846445	9606.ENSP00000350941	9606.ENSP00000275493	0	0	0	0.703	0.043	0.41	0.9	0.965	0.956
CXCL1	CXCL11	1858329	1848890	9606.ENSP00000379110	9606.ENSP00000306884	0	0	0	0	0.042	0	0.9	0.578	0.956
EGFR	DCN	1846445	1842218	9606.ENSP00000275493	9606.ENSP00000052754	0	0	0	0	0	0.4	0.8	0.655	0.955
LEP	RETN	1849557	1842846	9606.ENSP00000312652	9606.ENSP00000221515	0	0	0	0	0.042	0	0	0.954	0.955
MMP7	DCN	1844765	1842218	9606.ENSP00000260227	9606.ENSP00000052754	0	0	0	0	0	0.36	0.9	0.367	0.955
ITGB2	SELPLG	1848511	1843143	9606.ENSP00000303242	9606.ENSP00000228463	0	0	0	0	0.208	0	0.9	0.481	0.955
ICAM1	IL6	1845628	1844631	9606.ENSP00000264832	9606.ENSP00000258743	0	0	0	0	0.13	0	0	0.948	0.954
NCAM1	FCGR3B	1850053	1847507	9606.ENSP00000318472	9606.ENSP00000294800	0	0	0	0	0	0	0	0.954	0.954
IL6	IL4R	1844631	1842312	9606.ENSP00000258743	9606.ENSP00000170630	0	0	0	0	0	0	0.8	0.781	0.954
CCL19	CXCL11	1849114	1848890	9606.ENSP00000308815	9606.ENSP00000306884	0	0	0	0	0.096	0	0.9	0.523	0.953
CCL25	CCL19	1857886	1849114	9606.ENSP00000375086	9606.ENSP00000308815	0	0	0	0	0	0	0.9	0.547	0.952
SELE	VCAM1	1851385	1847502	9606.ENSP00000331736	9606.ENSP00000294728	0	0	0	0	0.086	0	0	0.95	0.952
ITGB2	FCGR2A	1848511	1846197	9606.ENSP00000303242	9606.ENSP00000271450	0	0	0	0	0.312	0	0.9	0.345	0.951
SRC	MET	1853652	1849944	9606.ENSP00000350941	9606.ENSP00000317272	0	0	0	0.714	0.099	0.398	0.9	0.63	0.951
COL18A1	CTSL1	1853197	1852924	9606.ENSP00000347665	9606.ENSP00000345344	0	0	0	0	0	0.36	0.9	0.304	0.951
NRP1	CHL1	1845737	1844445	9606.ENSP00000265371	9606.ENSP00000256509	0	0	0	0	0	0	0.9	0.535	0.951
F11	SERPINA5	1858999	1851559	9606.ENSP00000384957	9606.ENSP00000333203	0.074	0	0	0	0.062	0.415	0.9	0.192	0.951
CNTN1	NOTCH1	1850758	1846535	9606.ENSP00000325660	9606.ENSP00000277541	0	0	0	0	0.066	0.374	0.9	0.255	0.95
ITGAM	GP1BA	1862188	1851142	9606.ENSP00000441691	9606.ENSP00000329380	0	0	0	0	0	0.36	0.9	0.277	0.949
MMP3	CDH1	1848108	1844988	9606.ENSP00000299855	9606.ENSP00000261769	0	0	0	0	0.061	0	0.9	0.504	0.949
CXCL1	CXCL6	1858329	1843085	9606.ENSP00000379110	9606.ENSP00000226317	0	0	0	0.886	0.482	0	0.9	0.63	0.949
NOTCH1	AXIN1	1846535	1845118	9606.ENSP00000277541	9606.ENSP00000262320	0	0	0	0	0.054	0.043	0.9	0.506	0.949
PLAU	HGF	1855748	1842916	9606.ENSP00000361850	9606.ENSP00000222390	0	0	0	0.698	0.057	0.36	0.9	0.756	0.949
F11	GP1BA	1858999	1851142	9606.ENSP00000384957	9606.ENSP00000329380	0	0	0	0	0	0.402	0.9	0.229	0.949
CCL25	CCL20	1857886	1853751	9606.ENSP00000375086	9606.ENSP00000351671	0	0	0	0	0	0	0.9	0.505	0.948
PLAUR	ITGB2	1852201	1848511	9606.ENSP00000339328	9606.ENSP00000303242	0	0	0	0	0.053	0.36	0.9	0.257	0.948
ITGAM	SELPLG	1862188	1843143	9606.ENSP00000441691	9606.ENSP00000228463	0	0	0	0	0.132	0	0.9	0.448	0.948
CCL5	CXCL6	1847396	1843085	9606.ENSP00000293272	9606.ENSP00000226317	0	0	0	0	0	0	0.9	0.502	0.948
CCL5	CCL2	1847396	1843055	9606.ENSP00000293272	9606.ENSP00000225831	0	0	0	0	0.056	0.324	0	0.925	0.948
MMP9	MMP7	1855661	1844765	9606.ENSP00000361405	9606.ENSP00000260227	0	0	0	0.81	0.117	0.36	0.9	0.829	0.948
FAS	TNFRSF10B	1853242	1846494	9606.ENSP00000347979	9606.ENSP00000276431	0	0	0	0.636	0	0.324	0.9	0.731	0.948
CXCL10	CXCL16	1848754	1847437	9606.ENSP00000305651	9606.ENSP00000293778	0	0	0	0	0.074	0	0.9	0.491	0.948
CCL19	IL8	1849114	1848852	9606.ENSP00000308815	9606.ENSP00000306512	0	0	0	0	0	0	0.9	0.492	0.947
EPHB4	MMP2	1853646	1842719	9606.ENSP00000350896	9606.ENSP00000219070	0	0	0	0	0	0	0.9	0.491	0.946
IL12B	CCL3	1843283	1843010	9606.ENSP00000231228	9606.ENSP00000225245	0	0	0	0	0.051	0	0.9	0.477	0.946
CCL19	CXCL5	1849114	1847663	9606.ENSP00000308815	9606.ENSP00000296027	0	0	0	0	0	0	0.9	0.483	0.946
PLAU	SRC	1855748	1853652	9606.ENSP00000361850	9606.ENSP00000350941	0	0	0	0	0	0.111	0.9	0.446	0.946
SRC	TNC	1853652	1845696	9606.ENSP00000350941	9606.ENSP00000265131	0	0	0	0	0	0.119	0.9	0.42	0.944
TNFRSF10B	TNFRSF10A	1846494	1842814	9606.ENSP00000276431	9606.ENSP00000221132	0	0	0	0.819	0	0.36	0.9	0.929	0.944
CXCL9	CXCL16	1854250	1847437	9606.ENSP00000354901	9606.ENSP00000293778	0	0	0	0	0.092	0	0.9	0.441	0.944
COL1A1	PCOLCE	1843064	1842957	9606.ENSP00000225964	9606.ENSP00000223061	0	0	0	0	0.358	0	0.9	0.211	0.944
CCL20	CXCL6	1853751	1843085	9606.ENSP00000351671	9606.ENSP00000226317	0	0	0	0	0.053	0	0.9	0.455	0.943
PLAUR	HGF	1852201	1842916	9606.ENSP00000339328	9606.ENSP00000222390	0	0	0	0	0	0.07	0.9	0.443	0.943
TNFSF12	TNFSF13B	1862762	1856399	9606.ENSP00000451451	9606.ENSP00000365048	0	0	0	0.722	0	0.36	0.9	0.571	0.943
CXCL16	CCL5	1847437	1847396	9606.ENSP00000293778	9606.ENSP00000293272	0	0	0	0	0.072	0	0.9	0.441	0.943
TEK	MMP2	1857139	1842719	9606.ENSP00000369375	9606.ENSP00000219070	0	0	0	0	0	0	0.9	0.453	0.942
FIGF	HGF	1847913	1842916	9606.ENSP00000297904	9606.ENSP00000222390	0	0	0	0	0	0	0.9	0.444	0.942
CCL25	CXCL11	1857886	1848890	9606.ENSP00000375086	9606.ENSP00000306884	0	0	0	0	0	0	0.9	0.446	0.942
CCL25	CCL5	1857886	1847396	9606.ENSP00000375086	9606.ENSP00000293272	0	0	0	0	0	0	0.9	0.45	0.942
MMP9	NID1	1855661	1845497	9606.ENSP00000361405	9606.ENSP00000264187	0	0	0	0	0.055	0	0.9	0.444	0.942
CXCL1	CXCL16	1858329	1847437	9606.ENSP00000379110	9606.ENSP00000293778	0	0	0	0	0.052	0	0.9	0.439	0.942
VEGFA	IL6	1855611	1844631	9606.ENSP00000361125	9606.ENSP00000258743	0	0	0	0	0.049	0	0	0.941	0.941
CXCL1	CCL19	1858329	1849114	9606.ENSP00000379110	9606.ENSP00000308815	0	0	0	0	0	0	0.9	0.44	0.941
CCL25	CXCL10	1857886	1848754	9606.ENSP00000375086	9606.ENSP00000305651	0	0	0	0	0	0	0.9	0.442	0.941
NID1	MMP7	1845497	1844765	9606.ENSP00000264187	9606.ENSP00000260227	0	0	0	0	0	0	0.9	0.441	0.941
CCL25	CXCL9	1857886	1854250	9606.ENSP00000375086	9606.ENSP00000354901	0	0	0	0	0	0	0.9	0.443	0.941
NGF	MMP7	1855044	1844765	9606.ENSP00000358525	9606.ENSP00000260227	0	0	0	0	0	0.285	0.9	0.247	0.941
DLK1	NOTCH1	1852308	1846535	9606.ENSP00000340292	9606.ENSP00000277541	0	0	0	0.715	0.042	0.309	0.9	0.66	0.941
MMP3	NID1	1848108	1845497	9606.ENSP00000299855	9606.ENSP00000264187	0	0	0	0	0	0	0.9	0.442	0.941
VWF	HGF	1844904	1842916	9606.ENSP00000261405	9606.ENSP00000222390	0	0	0	0	0	0	0.9	0.443	0.941
